feature_id	gene_id	RAST	psort_loc	psort_loc_score	psort_loc_details	psort_loc_sec
1_3519_gene	GW101-3H11_contig_1_3519	Acetyltransferase, GNAT family	Unknown	2.00		
1_1842_gene	GW101-3H11_contig_1_1842	Acetyltransferase, GNAT family	Unknown	2.00		
1_4862_gene	GW101-3H11_contig_1_4862	Acetyltransferase, GNAT family	Unknown	2.00		
1_1705_gene	GW101-3H11_contig_1_1705	Acetyltransferase, GNAT family	Unknown	2.00		
1_4077_gene	GW101-3H11_contig_1_4077	Acetyltransferase, GNAT family	Unknown	2.00		
1_2005_gene	GW101-3H11_contig_1_2005	Acetyltransferase, GNAT family	CytoplasmicMembrane	9.82		
1_3632_gene	GW101-3H11_contig_1_3632	Acetyltransferase, GNAT family	Unknown	2.00		
1_3849_gene	GW101-3H11_contig_1_3849	Acetyltransferase, GNAT family	Unknown	2.00		
1_2893_gene	GW101-3H11_contig_1_2893	Acetyltransferase, GNAT family	Unknown	2.00		
1_2471_gene	GW101-3H11_contig_1_2471	Acetyltransferase, GNAT family	Unknown	2.00		
1_4909_gene	GW101-3H11_contig_1_4909	FIG00458971: hypothetical protein	Unknown	2.00		
1_3313_gene	GW101-3H11_contig_1_3313	Fumarate hydratase class II (EC 4.2.1.2)	Cytoplasmic	9.97		
1_3607_gene	GW101-3H11_contig_1_3607	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	Cytoplasmic	9.12		
1_442_gene	GW101-3H11_contig_1_442	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_2202_gene	GW101-3H11_contig_1_2202	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_4802_gene	GW101-3H11_contig_1_4802	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_2056_gene	GW101-3H11_contig_1_2056	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_2913_gene	GW101-3H11_contig_1_2913	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_4588_gene	GW101-3H11_contig_1_4588	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_1445_gene	GW101-3H11_contig_1_1445	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_4925_gene	GW101-3H11_contig_1_4925	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_2052_gene	GW101-3H11_contig_1_2052	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_347_gene	GW101-3H11_contig_1_347	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_438_gene	GW101-3H11_contig_1_438	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_1307_gene	GW101-3H11_contig_1_1307	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_3539_gene	GW101-3H11_contig_1_3539	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_4625_gene	GW101-3H11_contig_1_4625	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_564_gene	GW101-3H11_contig_1_564	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_4702_gene	GW101-3H11_contig_1_4702	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_4426_gene	GW101-3H11_contig_1_4426	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_1796_gene	GW101-3H11_contig_1_1796	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_86_gene	GW101-3H11_contig_1_86	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_4285_gene	GW101-3H11_contig_1_4285	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_1763_gene	GW101-3H11_contig_1_1763	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_1411_gene	GW101-3H11_contig_1_1411	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_2546_gene	GW101-3H11_contig_1_2546	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_1581_gene	GW101-3H11_contig_1_1581	Uncharacterized MFS-type transporter	CytoplasmicMembrane	10.00		
1_2241_gene	GW101-3H11_contig_1_2241	Histidine ammonia-lyase (EC 4.3.1.3)	Periplasmic	9.54		
1_803_gene	GW101-3H11_contig_1_803	Alpha-L-Rha alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)	Unknown	2.00		
1_551_gene	GW101-3H11_contig_1_551	Tannase and feruloyl esterase	Unknown	2.50		
1_267_gene	GW101-3H11_contig_1_267	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.26		
1_2520_gene	GW101-3H11_contig_1_2520	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CytoplasmicMembrane	7.88		
1_2856_gene	GW101-3H11_contig_1_2856	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_4642_gene	GW101-3H11_contig_1_4642	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_760_gene	GW101-3H11_contig_1_760	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_2027_gene	GW101-3H11_contig_1_2027	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_72_gene	GW101-3H11_contig_1_72	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_3292_gene	GW101-3H11_contig_1_3292	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.26		
1_11_gene	GW101-3H11_contig_1_11	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_2043_gene	GW101-3H11_contig_1_2043	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_506_gene	GW101-3H11_contig_1_506	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_4208_gene	GW101-3H11_contig_1_4208	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_2029_gene	GW101-3H11_contig_1_2029	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_666_gene	GW101-3H11_contig_1_666	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_3348_gene	GW101-3H11_contig_1_3348	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_858_gene	GW101-3H11_contig_1_858	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Cytoplasmic	9.97		
1_187_gene	GW101-3H11_contig_1_187	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CytoplasmicMembrane	7.88		
1_1047_gene	GW101-3H11_contig_1_1047	Type IV pilus biogenesis protein PilQ	OuterMembrane	10.00		
1_2432_gene	GW101-3H11_contig_1_2432	ABC transporter, permease protein 2 (cluster 5, nickel/peptides/opines)	CytoplasmicMembrane	10.00		
1_1165_gene	GW101-3H11_contig_1_1165	ABC transporter, permease protein 2 (cluster 5, nickel/peptides/opines)	CytoplasmicMembrane	10.00		
1_1878_gene	GW101-3H11_contig_1_1878	ABC transporter, permease protein 2 (cluster 5, nickel/peptides/opines)	CytoplasmicMembrane	10.00		
1_4609_gene	GW101-3H11_contig_1_4609	ABC transporter, permease protein 2 (cluster 5, nickel/peptides/opines)	CytoplasmicMembrane	10.00		
1_4905_gene	GW101-3H11_contig_1_4905	ABC transporter, permease protein 2 (cluster 5, nickel/peptides/opines)	CytoplasmicMembrane	10.00		
1_967_gene	GW101-3H11_contig_1_967	ABC transporter, permease protein 2 (cluster 5, nickel/peptides/opines)	CytoplasmicMembrane	10.00		
1_2617_gene	GW101-3H11_contig_1_2617	Sensor protein basS/pmrB (EC 2.7.3.-)	CytoplasmicMembrane	10.00		
1_3514_gene	GW101-3H11_contig_1_3514	Ferrichrome-iron receptor	OuterMembrane	10.00		
1_1949_gene	GW101-3H11_contig_1_1949	Ferrichrome-iron receptor	OuterMembrane	10.00		
1_361_gene	GW101-3H11_contig_1_361	Ferrichrome-iron receptor	OuterMembrane	10.00		
1_3512_gene	GW101-3H11_contig_1_3512	Ferrichrome-iron receptor	OuterMembrane	10.00		
1_4052_gene	GW101-3H11_contig_1_4052	Ferrichrome-iron receptor	OuterMembrane	10.00		
1_4093_gene	GW101-3H11_contig_1_4093	Ferrichrome-iron receptor	OuterMembrane	10.00		
1_3503_gene	GW101-3H11_contig_1_3503	Ferrichrome-iron receptor	OuterMembrane	10.00		
1_2435_gene	GW101-3H11_contig_1_2435	Ferrichrome-iron receptor	OuterMembrane	10.00		
1_3515_gene	GW101-3H11_contig_1_3515	Ferrichrome-iron receptor	OuterMembrane	10.00		
1_710_gene	GW101-3H11_contig_1_710	Uncharacterized UPF0721 integral membrane protein	CytoplasmicMembrane	10.00		
1_3275_gene	GW101-3H11_contig_1_3275	Uncharacterized UPF0721 integral membrane protein	CytoplasmicMembrane	10.00		
1_3559_gene	GW101-3H11_contig_1_3559	Protein YrdA	Cytoplasmic	9.97		
1_31_gene	GW101-3H11_contig_1_31	Protein YrdA	Cytoplasmic	9.97		
1_2947_gene	GW101-3H11_contig_1_2947	FIG00931906: hypothetical protein	Cytoplasmic	8.96		
1_2373_gene	GW101-3H11_contig_1_2373	Uracil phosphoribosyltransferase (EC 2.4.2.9)	Cytoplasmic	9.97		
1_3943_gene	GW101-3H11_contig_1_3943	MORN repeat family protein	CytoplasmicMembrane	10.00		
1_3083_gene	GW101-3H11_contig_1_3083	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	Cytoplasmic	9.97		
1_977_gene	GW101-3H11_contig_1_977	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	Cytoplasmic	9.26		
1_4337_gene	GW101-3H11_contig_1_4337	Flagellar motor switch protein FliN	Unknown	6.29	(This protein may have multiple localization sites.)	Flagellar
1_2438_gene	GW101-3H11_contig_1_2438	3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	Cytoplasmic	9.26		
1_3531_gene	GW101-3H11_contig_1_3531	Protein containing domains DUF403	Unknown	2.00		
1_3530_gene	GW101-3H11_contig_1_3530	Protein containing domains DUF403	Cytoplasmic	8.96		
1_3993_gene	GW101-3H11_contig_1_3993	Protein containing domains DUF403	Unknown	2.00		
1_612_gene	GW101-3H11_contig_1_612	Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein CzcB	CytoplasmicMembrane	9.82		
1_1455_gene	GW101-3H11_contig_1_1455	Nucleoside-diphosphate-sugar epimerases	Unknown	2.00		
1_3883_gene	GW101-3H11_contig_1_3883	Nucleoside-diphosphate-sugar epimerases	Unknown	2.00		
1_2037_gene	GW101-3H11_contig_1_2037	BarH	Cytoplasmic	8.96		
1_2074_gene	GW101-3H11_contig_1_2074	BarH	Unknown	2.00		
1_2499_gene	GW101-3H11_contig_1_2499	Polyhydroxyalkanoic acid synthase	Cytoplasmic	9.26		
1_2111_gene	GW101-3H11_contig_1_2111	Polyhydroxyalkanoic acid synthase	Cytoplasmic	9.26		
1_2110_gene	GW101-3H11_contig_1_2110	Sodium/glutamate symporter	CytoplasmicMembrane	10.00		
1_3461_gene	GW101-3H11_contig_1_3461	Tripartite tricarboxylate transporter TctC family	Periplasmic	9.76		
1_3335_gene	GW101-3H11_contig_1_3335	Tripartite tricarboxylate transporter TctC family	Periplasmic	9.76		
1_3799_gene	GW101-3H11_contig_1_3799	Tripartite tricarboxylate transporter TctC family	Unknown	2.50		
1_3390_gene	GW101-3H11_contig_1_3390	Tripartite tricarboxylate transporter TctC family	Periplasmic	9.76		
1_946_gene	GW101-3H11_contig_1_946	General secretion pathway protein D; Type II secretion outermembrane pore forming protein (PulD)	OuterMembrane	8.43		
1_814_gene	GW101-3H11_contig_1_814	General secretion pathway protein D	OuterMembrane	9.98		
1_526_gene	GW101-3H11_contig_1_526	Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)	CytoplasmicMembrane	8.46		
1_3152_gene	GW101-3H11_contig_1_3152	secreted hydrolase	Periplasmic	9.76		
1_1920_gene	GW101-3H11_contig_1_1920	Ribosome-binding factor A	Cytoplasmic	9.26		
1_3358_gene	GW101-3H11_contig_1_3358	Lignostilbene-alpha,beta-dioxygenase and related enzymes	Unknown	2.50		
1_4594_gene	GW101-3H11_contig_1_4594	Glutathione synthetase (EC 6.3.2.3)	Cytoplasmic	9.97		
1_2858_gene	GW101-3H11_contig_1_2858	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	7.88		
1_3150_gene	GW101-3H11_contig_1_3150	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_3032_gene	GW101-3H11_contig_1_3032	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_671_gene	GW101-3H11_contig_1_671	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_3031_gene	GW101-3H11_contig_1_3031	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	9.97		
1_887_gene	GW101-3H11_contig_1_887	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_3535_gene	GW101-3H11_contig_1_3535	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_3033_gene	GW101-3H11_contig_1_3033	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_915_gene	GW101-3H11_contig_1_915	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_3036_gene	GW101-3H11_contig_1_3036	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	9.82		
1_2857_gene	GW101-3H11_contig_1_2857	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	9.82		
1_1676_gene	GW101-3H11_contig_1_1676	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_3573_gene	GW101-3H11_contig_1_3573	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_83_gene	GW101-3H11_contig_1_83	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	9.82		
1_3911_gene	GW101-3H11_contig_1_3911	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	9.82		
1_1442_gene	GW101-3H11_contig_1_1442	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_2740_gene	GW101-3H11_contig_1_2740	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_944_gene	GW101-3H11_contig_1_944	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_1522_gene	GW101-3H11_contig_1_1522	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_2019_gene	GW101-3H11_contig_1_2019	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_4933_gene	GW101-3H11_contig_1_4933	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_3910_gene	GW101-3H11_contig_1_3910	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_916_gene	GW101-3H11_contig_1_916	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	9.82		
1_3236_gene	GW101-3H11_contig_1_3236	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	9.97		
1_4827_gene	GW101-3H11_contig_1_4827	Methyl-accepting chemotaxis sensor/transducer protein	CytoplasmicMembrane	10.00		
1_2734_gene	GW101-3H11_contig_1_2734	Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1)	CytoplasmicMembrane	10.00		
1_522_gene	GW101-3H11_contig_1_522	Respiratory nitrate reductase delta chain (EC 1.7.99.4)	Cytoplasmic	9.97		
1_1649_gene	GW101-3H11_contig_1_1649	FIG00537971: hypothetical protein	Unknown	6.49	(This protein may have multiple localization sites.)	
1_3079_gene	GW101-3H11_contig_1_3079	LSU ribosomal protein L31p, zinc-independent; LSU ribosomal protein L31p	Cytoplasmic	9.26		
1_3933_gene	GW101-3H11_contig_1_3933	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4)	Cytoplasmic	9.97		
1_291_gene	GW101-3H11_contig_1_291	Lactoylglutathione lyase and related lyases	Unknown	2.00		
1_4722_gene	GW101-3H11_contig_1_4722	Lactoylglutathione lyase and related lyases	Unknown	2.00		
1_195_gene	GW101-3H11_contig_1_195	Lactoylglutathione lyase and related lyases	Unknown	2.00		
1_539_gene	GW101-3H11_contig_1_539	Lactoylglutathione lyase and related lyases	Unknown	2.00		
1_518_gene	GW101-3H11_contig_1_518	Nitrate/nitrite transporter NarK/U 1	CytoplasmicMembrane	10.00		
1_2252_gene	GW101-3H11_contig_1_2252	Phosphatidylserine decarboxylase (EC 4.1.1.65)	CytoplasmicMembrane	9.82		
1_137_gene	GW101-3H11_contig_1_137	ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)	Periplasmic	9.76		
1_4908_gene	GW101-3H11_contig_1_4908	ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)	Periplasmic	9.76		
1_2434_gene	GW101-3H11_contig_1_2434	ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)	Periplasmic	9.76		
1_4607_gene	GW101-3H11_contig_1_4607	ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)	Periplasmic	10.00		
1_963_gene	GW101-3H11_contig_1_963	ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)	Periplasmic	9.76		
1_1162_gene	GW101-3H11_contig_1_1162	ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)	Periplasmic	10.00		
1_4907_gene	GW101-3H11_contig_1_4907	ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)	Unknown	2.00		
1_1876_gene	GW101-3H11_contig_1_1876	ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)	Periplasmic	9.44		
1_334_gene	GW101-3H11_contig_1_334	ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)	Periplasmic	9.76		
1_966_gene	GW101-3H11_contig_1_966	ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)	Periplasmic	9.76		
1_2048_gene	GW101-3H11_contig_1_2048	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	Unknown	6.49	(This protein may have multiple localization sites.)	
1_690_gene	GW101-3H11_contig_1_690	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	Cytoplasmic	9.97		
1_2681_gene	GW101-3H11_contig_1_2681	Glycine/D-amino acid oxidases (deaminating)	Cytoplasmic	9.26		
1_3767_gene	GW101-3H11_contig_1_3767	Glycine/D-amino acid oxidases (deaminating)	Cytoplasmic	9.26		
1_1670_gene	GW101-3H11_contig_1_1670	Assimilatory nitrate reductase large subunit (EC 1.7.99.4)	Cytoplasmic	9.26		
1_2810_gene	GW101-3H11_contig_1_2810	NADH:flavin oxidoreductases, Old Yellow Enzyme family	Cytoplasmic	9.26		
1_85_gene	GW101-3H11_contig_1_85	NADH:flavin oxidoreductases, Old Yellow Enzyme family	Cytoplasmic	9.26		
1_3355_gene	GW101-3H11_contig_1_3355	NADH:flavin oxidoreductases, Old Yellow Enzyme family	Periplasmic	9.80		
1_4112_gene	GW101-3H11_contig_1_4112	Outer membrane vitamin B12 receptor BtuB	OuterMembrane	10.00		
1_3272_gene	GW101-3H11_contig_1_3272	Outer membrane vitamin B12 receptor BtuB	OuterMembrane	10.00		
1_4046_gene	GW101-3H11_contig_1_4046	Nodulation protein N-related dehydratase	Unknown	2.00		
1_1252_gene	GW101-3H11_contig_1_1252	Ribonuclease PH (EC 2.7.7.56)	Cytoplasmic	9.97		
1_3452_gene	GW101-3H11_contig_1_3452	Macrophage infectivity potentiator-related protein	Unknown	2.00		
1_1351_gene	GW101-3H11_contig_1_1351	Glutathione hydrolase (EC 3.4.19.13); Gamma-glutamyltranspeptidase (EC 2.3.2.2)	Periplasmic	10.00		
1_127_gene	GW101-3H11_contig_1_127	Glutathione hydrolase (EC 3.4.19.13); Gamma-glutamyltranspeptidase (EC 2.3.2.2)	Periplasmic	9.76		
1_3448_gene	GW101-3H11_contig_1_3448	Glutathione hydrolase (EC 3.4.19.13); Gamma-glutamyltranspeptidase (EC 2.3.2.2)	Periplasmic	9.76		
1_4523_gene	GW101-3H11_contig_1_4523	Glutathione hydrolase (EC 3.4.19.13); Gamma-glutamyltranspeptidase (EC 2.3.2.2)	Periplasmic	9.76		
1_3072_gene	GW101-3H11_contig_1_3072	Nucleoid-associated protein YaaK	Unknown	2.00		
1_1597_gene	GW101-3H11_contig_1_1597	Response regulator	Cytoplasmic	8.96		
1_3725_gene	GW101-3H11_contig_1_3725	Response regulator	Cytoplasmic	9.97		
1_2289_gene	GW101-3H11_contig_1_2289	Response regulator	Cytoplasmic	9.97		
1_4687_gene	GW101-3H11_contig_1_4687	Glutamine amidotransferase, class I	Cytoplasmic	8.96		
1_953_gene	GW101-3H11_contig_1_953	General secretion pathway protein H	Unknown	2.50		
1_1159_gene	GW101-3H11_contig_1_1159	FOG: TPR repeat	Unknown	2.00		
1_2558_gene	GW101-3H11_contig_1_2558	FOG: TPR repeat	Cytoplasmic	8.96		
1_934_gene	GW101-3H11_contig_1_934	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	CytoplasmicMembrane	9.82		
1_4384_gene	GW101-3H11_contig_1_4384	EAL domain protein	Cytoplasmic	8.96		
1_244_gene	GW101-3H11_contig_1_244	EAL domain protein	Cytoplasmic	8.96		
1_3561_gene	GW101-3H11_contig_1_3561	EAL domain protein	CytoplasmicMembrane	9.82		
1_245_gene	GW101-3H11_contig_1_245	EAL domain protein	CytoplasmicMembrane	9.82		
1_3562_gene	GW101-3H11_contig_1_3562	EAL domain protein	Unknown	2.00		
1_1150_gene	GW101-3H11_contig_1_1150	Putative response regulator	Cytoplasmic	9.26		
1_1513_gene	GW101-3H11_contig_1_1513	Rrf2-linked NADH-flavin reductase	Unknown	2.00		
1_1617_gene	GW101-3H11_contig_1_1617	Transcriptional regulator protein	Cytoplasmic	9.97		
1_3777_gene	GW101-3H11_contig_1_3777	Opine oxidase subunit C	Unknown	2.00		
1_2192_gene	GW101-3H11_contig_1_2192	Glutamyl-tRNA synthetase (EC 6.1.1.17)	Cytoplasmic	9.97		
1_2069_gene	GW101-3H11_contig_1_2069	Ferredoxin, 2Fe-2S	Unknown	2.00		
1_2661_gene	GW101-3H11_contig_1_2661	Ferredoxin, 2Fe-2S	Cytoplasmic	8.96		
1_413_gene	GW101-3H11_contig_1_413	Ferredoxin, 2Fe-2S	Unknown	2.00		
1_2477_gene	GW101-3H11_contig_1_2477	2-methylaconitate isomerase	Cytoplasmic	9.26		
1_979_gene	GW101-3H11_contig_1_979	Maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)	OuterMembrane	9.93		
1_618_gene	GW101-3H11_contig_1_618	Arsenical resistance operon repressor	Unknown	2.00		
1_2313_gene	GW101-3H11_contig_1_2313	Lipid A export permease/ATP-binding protein MsbA	CytoplasmicMembrane	10.00		
1_2500_gene	GW101-3H11_contig_1_2500	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasmic	9.97		
1_4067_gene	GW101-3H11_contig_1_4067	Acetyl-CoA acetyltransferase (EC 2.3.1.9); 3-oxoadipyl-CoA thiolase (EC 2.3.1.174)	Cytoplasmic	9.97		
1_4029_gene	GW101-3H11_contig_1_4029	Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, thiol-disulfide reductase involved in Cu(I) insertion into CoxII Cu(A) center	Unknown	2.00		
1_3170_gene	GW101-3H11_contig_1_3170	D-malate dehydrogenase [decarboxylating] (EC 1.1.1.83)	Cytoplasmic	9.97		
1_2901_gene	GW101-3H11_contig_1_2901	D-malate dehydrogenase [decarboxylating] (EC 1.1.1.83)	Cytoplasmic	9.97		
1_1651_gene	GW101-3H11_contig_1_1651	D-malate dehydrogenase [decarboxylating] (EC 1.1.1.83)	Cytoplasmic	9.97		
1_341_gene	GW101-3H11_contig_1_341	Uncharacterized protein CbuG_0353	Unknown	2.00		
1_2007_gene	GW101-3H11_contig_1_2007	Citrate synthase (si) (EC 2.3.3.1)	Cytoplasmic	8.96		
1_1743_gene	GW101-3H11_contig_1_1743	Citrate synthase (si) (EC 2.3.3.1)	Cytoplasmic	9.97		
1_3373_gene	GW101-3H11_contig_1_3373	Renalase (EC 1.6.3.5), oxidases 1,2-dihydro- and 1,6-dihydro- beta-NAD(P)H isomers back to NAD(P)	CytoplasmicMembrane	9.86		
1_2713_gene	GW101-3H11_contig_1_2713	Renalase (EC 1.6.3.5), oxidases 1,2-dihydro- and 1,6-dihydro- beta-NAD(P)H isomers back to NAD(P)	Unknown	2.00		
1_3464_gene	GW101-3H11_contig_1_3464	CaiB/BaiF family protein	Cytoplasmic	9.97		
1_3176_gene	GW101-3H11_contig_1_3176	CaiB/BaiF family protein	Cytoplasmic	9.97		
1_1524_gene	GW101-3H11_contig_1_1524	CaiB/BaiF family protein	Cytoplasmic	9.26		
1_2696_gene	GW101-3H11_contig_1_2696	ABC-type antimicrobial peptide transport system, ATPase component	CytoplasmicMembrane	10.00		
1_4810_gene	GW101-3H11_contig_1_4810	Protein translocase subunit SecF	CytoplasmicMembrane	10.00		
1_301_gene	GW101-3H11_contig_1_301	Short-chain dehydrogenase/reductase SDR	Cytoplasmic	9.26		
1_2286_gene	GW101-3H11_contig_1_2286	Short-chain dehydrogenase/reductase SDR	Cytoplasmic	9.26		
1_994_gene	GW101-3H11_contig_1_994	D-mannose isomerase (EC 5.3.1.7); Glucose-6-phosphate isomerase (EC 5.3.1.9)	Unknown	2.00		
1_993_gene	GW101-3H11_contig_1_993	Glucose-6-phosphate isomerase (EC 5.3.1.9)	Cytoplasmic	9.26		
1_1766_gene	GW101-3H11_contig_1_1766	Tol-Pal system protein TolQ	CytoplasmicMembrane	10.00		
1_43_gene	GW101-3H11_contig_1_43	Bll4998 protein	Unknown	2.00		
1_4624_gene	GW101-3H11_contig_1_4624	Ribosome hibernation promoting factor Hpf	Cytoplasmic	9.97		
1_1566_gene	GW101-3H11_contig_1_1566	Periplasmic molybdate-binding domain	Cytoplasmic	8.96		
1_3902_gene	GW101-3H11_contig_1_3902	hypothetical protein PA3071	Cytoplasmic	9.97		
1_4226_gene	GW101-3H11_contig_1_4226	P-hydroxylaminobenzoate lyase	Unknown	2.00		
1_4442_gene	GW101-3H11_contig_1_4442	GAF domain/sensory box/EAL domain protein	CytoplasmicMembrane	10.00		
1_4806_gene	GW101-3H11_contig_1_4806	Indolepyruvate ferredoxin oxidoreductase, alpha and beta subunits	Unknown	2.00		
1_2084_gene	GW101-3H11_contig_1_2084	Indolepyruvate ferredoxin oxidoreductase, alpha and beta subunits	Cytoplasmic	8.96		
1_4539_gene	GW101-3H11_contig_1_4539	two-component system response regulator (Pho family)	Cytoplasmic	8.96		
1_1142_gene	GW101-3H11_contig_1_1142	FIG00347663: hypothetical protein	Unknown	2.50		
1_2133_gene	GW101-3H11_contig_1_2133	parB-like partition protein	Cytoplasmic	9.26		
1_2141_gene	GW101-3H11_contig_1_2141	histone family protein nucleoid-structuring protein H-NS	Unknown	2.00		
