feature_id	gene_id	RAST	psort_loc	psort_loc_score	psort_loc_details	psort_loc_sec
1_1603_gene	FW510-R12_contig_1_1603	TonB-dependent receptor	OuterMembrane	10.00		
1_652_gene	FW510-R12_contig_1_652	TonB-dependent receptor	OuterMembrane	9.52		
1_1725_gene	FW510-R12_contig_1_1725	TonB-dependent receptor	OuterMembrane	10.00		
1_1098_gene	FW510-R12_contig_1_1098	TonB-dependent receptor	OuterMembrane	10.00		
1_1900_gene	FW510-R12_contig_1_1900	TonB-dependent receptor	Unknown	6.26	(This protein may have multiple localization sites.)	
1_174_gene	FW510-R12_contig_1_174	TonB-dependent receptor	OuterMembrane	10.00		
1_655_gene	FW510-R12_contig_1_655	TonB-dependent receptor	OuterMembrane	9.52		
1_935_gene	FW510-R12_contig_1_935	TonB-dependent receptor	OuterMembrane	9.52		
1_2898_gene	FW510-R12_contig_1_2898	TonB-dependent receptor	OuterMembrane	9.95		
1_673_gene	FW510-R12_contig_1_673	TonB-dependent receptor	OuterMembrane	10.00		
1_3043_gene	FW510-R12_contig_1_3043	TonB-dependent receptor	Extracellular	9.65		
1_2291_gene	FW510-R12_contig_1_2291	TonB-dependent receptor	OuterMembrane	10.00		
1_3214_gene	FW510-R12_contig_1_3214	TonB-dependent receptor	OuterMembrane	9.93		
1_615_gene	FW510-R12_contig_1_615	TonB-dependent receptor	OuterMembrane	9.52		
1_381_gene	FW510-R12_contig_1_381	TonB-dependent receptor	OuterMembrane	10.00		
1_1003_gene	FW510-R12_contig_1_1003	TonB-dependent receptor	Unknown	2.50		
1_1779_gene	FW510-R12_contig_1_1779	TonB-dependent receptor	OuterMembrane	9.52		
1_804_gene	FW510-R12_contig_1_804	TonB-dependent receptor	OuterMembrane	9.95		
1_1848_gene	FW510-R12_contig_1_1848	TonB-dependent receptor	OuterMembrane	10.00		
1_1233_gene	FW510-R12_contig_1_1233	TonB-dependent receptor	OuterMembrane	10.00		
1_658_gene	FW510-R12_contig_1_658	TonB-dependent receptor	OuterMembrane	9.93		
1_1018_gene	FW510-R12_contig_1_1018	TonB-dependent receptor	OuterMembrane	10.00		
1_3495_gene	FW510-R12_contig_1_3495	TonB-dependent receptor	OuterMembrane	9.95		
1_1846_gene	FW510-R12_contig_1_1846	TonB-dependent receptor	OuterMembrane	10.00		
1_2756_gene	FW510-R12_contig_1_2756	Formate-dependent phosphoribosylglycinamide formyltransferase	CytoplasmicMembrane	7.88		
1_3306_gene	FW510-R12_contig_1_3306	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.66)	Cytoplasmic	9.97		
1_3523_gene	FW510-R12_contig_1_3523	UPF0758 protein YicR	Cytoplasmic	9.97		
1_1024_gene	FW510-R12_contig_1_1024	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	Cytoplasmic	9.26		
1_2975_gene	FW510-R12_contig_1_2975	Flagellar P-ring protein FlgI	Periplasmic	9.76		
1_3166_gene	FW510-R12_contig_1_3166	HNH endonuclease family protein	Unknown	2.00		
1_31_gene	FW510-R12_contig_1_31	Gfa-like protein	Cytoplasmic	8.96		
1_3059_gene	FW510-R12_contig_1_3059	Gfa-like protein	Cytoplasmic	8.96		
1_290_gene	FW510-R12_contig_1_290	ABC-type Na+ transport system not coupled with H+ or K+ uptake, ATPase component NatA	CytoplasmicMembrane	7.88		
1_3244_gene	FW510-R12_contig_1_3244	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	Cytoplasmic	8.96		
1_1133_gene	FW510-R12_contig_1_1133	Cell division integral membrane protein, YggT and half-length relatives	CytoplasmicMembrane	10.00		
1_2522_gene	FW510-R12_contig_1_2522	Luciferase-like monooxygenase YhbW	Cytoplasmic	9.26		
1_1378_gene	FW510-R12_contig_1_1378	COGs COG3146	Unknown	2.00		
1_2371_gene	FW510-R12_contig_1_2371	sodium/hydrogen exchanger	CytoplasmicMembrane	10.00		
1_2932_gene	FW510-R12_contig_1_2932	Positive regulator of CheA protein activity (CheW)	Cytoplasmic	9.97		
1_2940_gene	FW510-R12_contig_1_2940	Positive regulator of CheA protein activity (CheW)	Cytoplasmic	9.26		
1_2811_gene	FW510-R12_contig_1_2811	Nitrous oxide reductase maturation protein NosF (ATPase)	CytoplasmicMembrane	9.82		
1_1145_gene	FW510-R12_contig_1_1145	twitching motility protein PilH	Cytoplasmic	9.97		
1_1801_gene	FW510-R12_contig_1_1801	twitching motility protein PilH	Cytoplasmic	9.97		
1_2688_gene	FW510-R12_contig_1_2688	twitching motility protein PilH	Cytoplasmic	9.97		
1_2690_gene	FW510-R12_contig_1_2690	twitching motility protein PilH	Cytoplasmic	9.97		
1_1702_gene	FW510-R12_contig_1_1702	Glyoxalase/bleomycin resistance protein/dioxygenase	Unknown	2.00		
1_1896_gene	FW510-R12_contig_1_1896	Glyoxalase/bleomycin resistance protein/dioxygenase	Cytoplasmic	9.97		
1_1318_gene	FW510-R12_contig_1_1318	Lipid-A-disaccharide synthase (EC 2.4.1.182)	Cytoplasmic	9.97		
1_3563_gene	FW510-R12_contig_1_3563	LSU ribosomal protein L34p	Cytoplasmic	9.26		
1_1231_gene	FW510-R12_contig_1_1231	Acylphosphate phosphohydrolase (EC 3.6.1.7)	Cytoplasmic	9.26		
1_2481_gene	FW510-R12_contig_1_2481	17 kDa surface antigen	Unknown	2.50		
1_2480_gene	FW510-R12_contig_1_2480	17 kDa surface antigen	Unknown	2.50		
1_2495_gene	FW510-R12_contig_1_2495	Cytochrome c-type biogenesis protein CcmD, interacts with CcmCE	Unknown	2.00		
1_3513_gene	FW510-R12_contig_1_3513	Peptidase, M23/M37 family	Cytoplasmic	9.26		
1_3191_gene	FW510-R12_contig_1_3191	Peptidase, M23/M37 family	OuterMembrane	9.93		
1_2374_gene	FW510-R12_contig_1_2374	Phosphoenolpyruvate synthase (EC 2.7.9.2)	Cytoplasmic	9.97		
1_2008_gene	FW510-R12_contig_1_2008	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	Cytoplasmic	9.97		
1_1792_gene	FW510-R12_contig_1_1792	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	Cytoplasmic	9.97		
1_1073_gene	FW510-R12_contig_1_1073	protein of unknown function DUF427	Unknown	2.00		
1_1069_gene	FW510-R12_contig_1_1069	protein of unknown function DUF427	Unknown	2.00		
1_1167_gene	FW510-R12_contig_1_1167	Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)	Cytoplasmic	9.97		
1_1610_gene	FW510-R12_contig_1_1610	Permease of the drug/metabolite transporter (DMT) superfamily	CytoplasmicMembrane	10.00		
1_1062_gene	FW510-R12_contig_1_1062	Permease of the drug/metabolite transporter (DMT) superfamily	CytoplasmicMembrane	10.00		
1_329_gene	FW510-R12_contig_1_329	Permease of the drug/metabolite transporter (DMT) superfamily	CytoplasmicMembrane	10.00		
1_1387_gene	FW510-R12_contig_1_1387	Permease of the drug/metabolite transporter (DMT) superfamily	CytoplasmicMembrane	10.00		
1_710_gene	FW510-R12_contig_1_710	Permease of the drug/metabolite transporter (DMT) superfamily	CytoplasmicMembrane	10.00		
1_1386_gene	FW510-R12_contig_1_1386	Permease of the drug/metabolite transporter (DMT) superfamily	CytoplasmicMembrane	10.00		
1_2882_gene	FW510-R12_contig_1_2882	Purine nucleoside phosphorylase (EC 2.4.2.1)	Cytoplasmic	9.97		
1_2942_gene	FW510-R12_contig_1_2942	Flagellar motor rotation protein MotA	CytoplasmicMembrane	10.00		
1_2951_gene	FW510-R12_contig_1_2951	Flagellar biosynthesis protein FliR	CytoplasmicMembrane	10.00		Flagellar
1_1352_gene	FW510-R12_contig_1_1352	N-acetylornithine aminotransferase (EC 2.6.1.11)	Unknown	2.00		
1_366_gene	FW510-R12_contig_1_366	N-acetylornithine aminotransferase (EC 2.6.1.11)	Cytoplasmic	9.97		
1_434_gene	FW510-R12_contig_1_434	ATP synthase delta chain (EC 3.6.3.14)	Unknown	6.49	(This protein may have multiple localization sites.)	
1_1373_gene	FW510-R12_contig_1_1373	Aminotransferase, class III	Cytoplasmic	9.97		
1_983_gene	FW510-R12_contig_1_983	Aminotransferase, class III	Unknown	5.95	(This protein may have multiple localization sites.)	
1_1887_gene	FW510-R12_contig_1_1887	GTP pyrophosphokinase (EC 2.7.6.5)	Cytoplasmic	8.96		
1_2502_gene	FW510-R12_contig_1_2502	Cysteine dioxygenase (EC 1.13.11.20)	Cytoplasmic	8.96		
1_104_gene	FW510-R12_contig_1_104	Glycosyltransferase	Cytoplasmic	9.26		
1_912_gene	FW510-R12_contig_1_912	Glycosyltransferase	CytoplasmicMembrane	10.00		
1_2333_gene	FW510-R12_contig_1_2333	Glycosyltransferase	CytoplasmicMembrane	10.00		
1_895_gene	FW510-R12_contig_1_895	Glycosyltransferase	Unknown	2.00		
2_105_gene	FW510-R12_contig_2_105	Glycosyltransferase	CytoplasmicMembrane	10.00		
1_343_gene	FW510-R12_contig_1_343	Glycosyltransferase	Cytoplasmic	8.96		
1_1652_gene	FW510-R12_contig_1_1652	Glycosyltransferase	Cytoplasmic	9.97		
1_1631_gene	FW510-R12_contig_1_1631	Putative transmembrane protein	Unknown	2.00		
1_955_gene	FW510-R12_contig_1_955	Putative transmembrane protein	CytoplasmicMembrane	10.00		
1_2892_gene	FW510-R12_contig_1_2892	Putative transmembrane protein	CytoplasmicMembrane	10.00		
1_1979_gene	FW510-R12_contig_1_1979	Putative transmembrane protein	CytoplasmicMembrane	10.00		
1_3411_gene	FW510-R12_contig_1_3411	Putative transmembrane protein	CytoplasmicMembrane	10.00		
1_61_gene	FW510-R12_contig_1_61	Putative transmembrane protein	OuterMembrane	9.52		
1_2889_gene	FW510-R12_contig_1_2889	L-aspartate oxidase (EC 1.4.3.16)	Unknown	4.99	(This protein may have multiple localization sites.)	
1_3353_gene	FW510-R12_contig_1_3353	Putative dipeptidase, pyoverdin biosynthesis PvdM	Unknown	4.90	(This protein may have multiple localization sites.)	
1_1298_gene	FW510-R12_contig_1_1298	Ribonuclease G	Cytoplasmic	9.97		
1_1396_gene	FW510-R12_contig_1_1396	Zn-dependent aminopeptidase	Unknown	2.50		
1_331_gene	FW510-R12_contig_1_331	Heat shock protein 10 kDa family chaperone GroES	Cytoplasmic	9.97		
1_3351_gene	FW510-R12_contig_1_3351	Oar protein	OuterMembrane	9.95		
1_1502_gene	FW510-R12_contig_1_1502	Adenylate cyclase (EC 4.6.1.1)	CytoplasmicMembrane	10.00		
1_1301_gene	FW510-R12_contig_1_1301	Adenylate cyclase (EC 4.6.1.1)	Unknown	6.58	(This protein may have multiple localization sites.)	
1_1584_gene	FW510-R12_contig_1_1584	Glyoxalase family protein	Cytoplasmic	8.96		
1_2507_gene	FW510-R12_contig_1_2507	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)	Cytoplasmic	9.97		
1_729_gene	FW510-R12_contig_1_729	Delta-9 fatty acid desaturase (EC 1.14.19.1); Fatty acid desaturase (EC 1.14.19.1)	CytoplasmicMembrane	9.16		
1_805_gene	FW510-R12_contig_1_805	TPR domain protein	Cytoplasmic	8.96		
1_1097_gene	FW510-R12_contig_1_1097	TPR domain protein	Cytoplasmic	8.96		
1_1937_gene	FW510-R12_contig_1_1937	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	Cytoplasmic	9.97		
1_2720_gene	FW510-R12_contig_1_2720	Glutathione peroxidase (EC 1.11.1.9); Thioredoxin peroxidase (EC 1.11.1.15)	Cytoplasmic	9.26		
1_227_gene	FW510-R12_contig_1_227	Sulfatase	CytoplasmicMembrane	10.00		
1_665_gene	FW510-R12_contig_1_665	Sulfatase	CytoplasmicMembrane	10.00		
1_2168_gene	FW510-R12_contig_1_2168	Sulfatase	CytoplasmicMembrane	10.00		
1_3177_gene	FW510-R12_contig_1_3177	GTPase	CytoplasmicMembrane	9.93		
1_1678_gene	FW510-R12_contig_1_1678	2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	Cytoplasmic	8.96		
1_1262_gene	FW510-R12_contig_1_1262	Translation elongation factor Tu	Cytoplasmic	9.97		
1_1250_gene	FW510-R12_contig_1_1250	Translation elongation factor Tu	Cytoplasmic	9.97		
1_2379_gene	FW510-R12_contig_1_2379	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	Cytoplasmic	9.97		
1_3435_gene	FW510-R12_contig_1_3435	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	Cytoplasmic	8.96		
1_264_gene	FW510-R12_contig_1_264	Heme A synthase, cytochrome oxidase biogenesis protein Cox15-CtaA	CytoplasmicMembrane	10.00		
1_803_gene	FW510-R12_contig_1_803	AMP nucleosidase (EC 3.2.2.4)	Cytoplasmic	9.97		
1_1699_gene	FW510-R12_contig_1_1699	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily; DUF3471 domain	CytoplasmicMembrane	9.97		
1_3356_gene	FW510-R12_contig_1_3356	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily	CytoplasmicMembrane	9.97		
1_3354_gene	FW510-R12_contig_1_3354	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily; DUF3471 domain	Unknown	6.53	(This protein may have multiple localization sites.)	
1_2342_gene	FW510-R12_contig_1_2342	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily	Unknown	2.50		
1_906_gene	FW510-R12_contig_1_906	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily	CytoplasmicMembrane	9.97		
1_1629_gene	FW510-R12_contig_1_1629	Dienelactone hydrolase family protein	Unknown	2.00		
1_3178_gene	FW510-R12_contig_1_3178	Dienelactone hydrolase family protein	Unknown	2.50		
1_2117_gene	FW510-R12_contig_1_2117	Acyl-CoA dehydrogenase family protein	Cytoplasmic	9.26		
1_2075_gene	FW510-R12_contig_1_2075	Acyl-CoA dehydrogenase family protein	Cytoplasmic	9.97		
1_2498_gene	FW510-R12_contig_1_2498	Cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase	CytoplasmicMembrane	10.00		
1_1923_gene	FW510-R12_contig_1_1923	Prephenate dehydratase (EC 4.2.1.51); Chorismate mutase I (EC 5.4.99.5)	Cytoplasmic	9.97		
1_2859_gene	FW510-R12_contig_1_2859	Chorismate mutase I (EC 5.4.99.5); Prephenate and/or arogenate dehydrogenase (unknown specificity) (EC 1.3.1.12)(EC 1.3.1.43)	Cytoplasmic	8.96		
1_2457_gene	FW510-R12_contig_1_2457	Uncharacterized MFS-type transporter YnfM	CytoplasmicMembrane	10.00		
1_1608_gene	FW510-R12_contig_1_1608	Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein CzcB	Unknown	4.90	(This protein may have multiple localization sites.)	
1_1391_gene	FW510-R12_contig_1_1391	ABC-type antimicrobial peptide transport system, permease component	CytoplasmicMembrane	10.00		
1_1505_gene	FW510-R12_contig_1_1505	ABC-type antimicrobial peptide transport system, permease component	CytoplasmicMembrane	10.00		
1_3263_gene	FW510-R12_contig_1_3263	ABC-type antimicrobial peptide transport system, permease component	CytoplasmicMembrane	10.00		
1_1485_gene	FW510-R12_contig_1_1485	GTP cyclohydrolase I (EC 3.5.4.16) type 2	Cytoplasmic	8.96		
1_3274_gene	FW510-R12_contig_1_3274	Transcriptional regulator, MarR family	Cytoplasmic	9.97		
1_2570_gene	FW510-R12_contig_1_2570	Transcriptional regulator, MarR family	Cytoplasmic	9.97		
1_151_gene	FW510-R12_contig_1_151	Transcriptional regulator, MarR family	Cytoplasmic	9.97		
1_2483_gene	FW510-R12_contig_1_2483	Transcriptional regulator, MarR family	Cytoplasmic	8.96		
1_2448_gene	FW510-R12_contig_1_2448	Aspartate aminotransferase (EC 2.6.1.1); Transcriptional regulator, GntR family domain	Cytoplasmic	9.26		
1_1859_gene	FW510-R12_contig_1_1859	Aspartate aminotransferase (EC 2.6.1.1)	Cytoplasmic	9.26		
1_1832_gene	FW510-R12_contig_1_1832	Aspartate aminotransferase (EC 2.6.1.1)	Cytoplasmic	9.97		
1_2406_gene	FW510-R12_contig_1_2406	Mg/Co/Ni transporter MgtE, CBS domain-containing	CytoplasmicMembrane	10.00		
1_2496_gene	FW510-R12_contig_1_2496	Cytochrome c-type biogenesis protein CcmE, heme chaperone	Unknown	2.50		
1_880_gene	FW510-R12_contig_1_880	Glycosyl transferase	Cytoplasmic	8.96		
1_97_gene	FW510-R12_contig_1_97	Glycosyl transferase	CytoplasmicMembrane	7.88		
1_1460_gene	FW510-R12_contig_1_1460	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60)	Cytoplasmic	9.26		
2_110_gene	FW510-R12_contig_2_110	Antitoxin YgiT	Unknown	2.00		
1_1275_gene	FW510-R12_contig_1_1275	LSU ribosomal protein L24p (L26e)	Cytoplasmic	9.26		
1_2344_gene	FW510-R12_contig_1_2344	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9), FabV => refractory to triclosan	Cytoplasmic	9.97		
1_3110_gene	FW510-R12_contig_1_3110	SAM-dependent methyltransferase	Cytoplasmic	9.97		
1_102_gene	FW510-R12_contig_1_102	SAM-dependent methyltransferase	Cytoplasmic	9.26		
1_1064_gene	FW510-R12_contig_1_1064	SAM-dependent methyltransferase	Cytoplasmic	9.97		
1_100_gene	FW510-R12_contig_1_100	SAM-dependent methyltransferase	Cytoplasmic	8.96		
1_2744_gene	FW510-R12_contig_1_2744	SAM-dependent methyltransferase	Cytoplasmic	8.96		
1_3236_gene	FW510-R12_contig_1_3236	SAM-dependent methyltransferase	Unknown	2.00		
1_757_gene	FW510-R12_contig_1_757	SAM-dependent methyltransferase	Unknown	2.00		
1_394_gene	FW510-R12_contig_1_394	ATP-dependent RNA helicase, DEAD/DEAH box family	Cytoplasmic	9.97		
1_3386_gene	FW510-R12_contig_1_3386	Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	Cytoplasmic	9.97		
1_2100_gene	FW510-R12_contig_1_2100	putative oxidoreductase, nitronate monooxygenase family	Cytoplasmic	9.26		
1_515_gene	FW510-R12_contig_1_515	CzcABC family efflux RND transporter, membrane fusion protein	CytoplasmicMembrane	9.82		
1_2142_gene	FW510-R12_contig_1_2142	CzcABC family efflux RND transporter, membrane fusion protein	Unknown	2.50		
2_89_gene	FW510-R12_contig_2_89	CzcABC family efflux RND transporter, membrane fusion protein	Unknown	2.50		
1_1596_gene	FW510-R12_contig_1_1596	CzcABC family efflux RND transporter, membrane fusion protein	Unknown	2.00		
1_1178_gene	FW510-R12_contig_1_1178	Thymidylate synthase (EC 2.1.1.45)	Cytoplasmic	9.97		
1_587_gene	FW510-R12_contig_1_587	Uncharacterized protein with LysM domain, COG1652	Unknown	4.90	(This protein may have multiple localization sites.)	
2_94_gene	FW510-R12_contig_2_94	Cobalt/zinc/cadmium resistance protein CzcD	CytoplasmicMembrane	10.00		
1_2137_gene	FW510-R12_contig_1_2137	Cobalt/zinc/cadmium resistance protein CzcD	CytoplasmicMembrane	10.00		
1_2130_gene	FW510-R12_contig_1_2130	Cobalt/zinc/cadmium resistance protein CzcD	CytoplasmicMembrane	10.00		
2_92_gene	FW510-R12_contig_2_92	Cobalt/zinc/cadmium resistance protein CzcD	CytoplasmicMembrane	10.00		
1_3112_gene	FW510-R12_contig_1_3112	Cobalt/zinc/cadmium resistance protein CzcD	CytoplasmicMembrane	10.00		
1_2047_gene	FW510-R12_contig_1_2047	Cobalt/zinc/cadmium resistance protein CzcD	CytoplasmicMembrane	10.00		
1_2139_gene	FW510-R12_contig_1_2139	Cobalt/zinc/cadmium resistance protein CzcD	CytoplasmicMembrane	10.00		
1_1663_gene	FW510-R12_contig_1_1663	Cobalt/zinc/cadmium resistance protein CzcD	CytoplasmicMembrane	10.00		
1_767_gene	FW510-R12_contig_1_767	Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)	Cytoplasmic	8.96		
1_1023_gene	FW510-R12_contig_1_1023	Probable transcriptional regulatory protein YebC	Cytoplasmic	8.96		
1_77_gene	FW510-R12_contig_1_77	4,5-DOPA dioxygenase extradiol (EC 1.13.11.29), but not physiological substrate	Unknown	2.00		
1_1209_gene	FW510-R12_contig_1_1209	alanyl dipeptidyl peptidase	Unknown	6.49	(This protein may have multiple localization sites.)	
1_428_gene	FW510-R12_contig_1_428	6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50)	Cytoplasmic	9.97		
1_2301_gene	FW510-R12_contig_1_2301	Seryl-tRNA synthetase (EC 6.1.1.11)	Cytoplasmic	10.00		
1_1076_gene	FW510-R12_contig_1_1076	Energy-dependent translational throttle protein EttA	Cytoplasmic	9.97		
1_218_gene	FW510-R12_contig_1_218	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	Cytoplasmic	8.96		
1_1706_gene	FW510-R12_contig_1_1706	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	Cytoplasmic	8.96		
1_2464_gene	FW510-R12_contig_1_2464	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)	Cytoplasmic	8.96		
1_141_gene	FW510-R12_contig_1_141	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	Cytoplasmic	9.97		
1_2755_gene	FW510-R12_contig_1_2755	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	Unknown	4.99	(This protein may have multiple localization sites.)	
1_356_gene	FW510-R12_contig_1_356	Inorganic pyrophosphatase (EC 3.6.1.1)	Cytoplasmic	9.97		
1_3121_gene	FW510-R12_contig_1_3121	Inactive (p)ppGpp 3'-pyrophosphohydrolase domain; GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I	Cytoplasmic	8.96		
2_132_gene	FW510-R12_contig_2_132	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I	Cytoplasmic	8.96		
1_800_gene	FW510-R12_contig_1_800	tropinone reductase	Cytoplasmic	9.26		
1_3206_gene	FW510-R12_contig_1_3206	16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)	Cytoplasmic	9.97		
1_809_gene	FW510-R12_contig_1_809	Glutaredoxin-related protein	Unknown	2.00		
1_2902_gene	FW510-R12_contig_1_2902	Glutaredoxin-related protein	Unknown	2.00		
1_2606_gene	FW510-R12_contig_1_2606	Lasso peptide isopeptidase AtxE family, specific for knotted structure	Unknown	2.50		
1_3474_gene	FW510-R12_contig_1_3474	Lasso peptide isopeptidase AtxE family, specific for knotted structure	Unknown	4.90	(This protein may have multiple localization sites.)	
1_635_gene	FW510-R12_contig_1_635	Homoserine kinase (EC 2.7.1.39)	Unknown	2.00		
1_1115_gene	FW510-R12_contig_1_1115	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	CytoplasmicMembrane	10.00		
1_694_gene	FW510-R12_contig_1_694	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	Cytoplasmic	9.97		
1_2886_gene	FW510-R12_contig_1_2886	FIG01964566: Predicted membrane protein, hemolysin III homolog	CytoplasmicMembrane	10.00		
1_3431_gene	FW510-R12_contig_1_3431	FIG01964566: Predicted membrane protein, hemolysin III homolog	CytoplasmicMembrane	10.00		
1_563_gene	FW510-R12_contig_1_563	Vibriolysin, extracellular zinc protease (EC 3.4.24.25); Pseudolysin, extracellular zinc protease (EC 3.4.24.26)	Extracellular	9.96		
1_2489_gene	FW510-R12_contig_1_2489	Vibriolysin, extracellular zinc protease (EC 3.4.24.25); Pseudolysin, extracellular zinc protease (EC 3.4.24.26)	Extracellular	10.00		
1_1222_gene	FW510-R12_contig_1_1222	Vibriolysin, extracellular zinc protease (EC 3.4.24.25); Pseudolysin, extracellular zinc protease (EC 3.4.24.26)	Extracellular	10.00		
1_27_gene	FW510-R12_contig_1_27	FIG00613342: Bacterial patatin-like phospholipase domain containing protein	Unknown	7.00	(This protein may have multiple localization sites.)	
1_503_gene	FW510-R12_contig_1_503	FIG00613342: Bacterial patatin-like phospholipase domain containing protein	Extracellular	8.99		
1_1830_gene	FW510-R12_contig_1_1830	Exoenzymes regulatory protein AepA precursor	Unknown	2.50		
1_2721_gene	FW510-R12_contig_1_2721	Methionine ABC transporter ATP-binding protein	CytoplasmicMembrane	7.88		
1_3553_gene	FW510-R12_contig_1_3553	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	Cytoplasmic	9.26		
1_3552_gene	FW510-R12_contig_1_3552	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	Cytoplasmic	9.26		
1_138_gene	FW510-R12_contig_1_138	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	Cytoplasmic	9.97		
2_104_gene	FW510-R12_contig_2_104	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43); Polymyxin resistance protein PmrK	CytoplasmicMembrane	10.00		
2_111_gene	FW510-R12_contig_2_111	Toxin mRNA interferase YgiU	Unknown	2.00		
1_648_gene	FW510-R12_contig_1_648	Capsular polysaccharide biosynthesis protein WcbQ	CytoplasmicMembrane	10.00		
1_335_gene	FW510-R12_contig_1_335	Capsular polysaccharide biosynthesis protein WcbQ	CytoplasmicMembrane	10.00		
1_2295_gene	FW510-R12_contig_1_2295	Universal stress protein family	Cytoplasmic	8.96		
1_2824_gene	FW510-R12_contig_1_2824	Universal stress protein family	Unknown	2.00		
1_996_gene	FW510-R12_contig_1_996	Two-component transcriptional response regulator, LuxR family	Cytoplasmic	9.26		
1_3364_gene	FW510-R12_contig_1_3364	Two-component transcriptional response regulator, LuxR family	Cytoplasmic	9.97		
1_15_gene	FW510-R12_contig_1_15	Two-component transcriptional response regulator, LuxR family	Cytoplasmic	9.26		
1_2260_gene	FW510-R12_contig_1_2260	Two-component transcriptional response regulator, LuxR family	Cytoplasmic	9.97		
1_1854_gene	FW510-R12_contig_1_1854	Two-component transcriptional response regulator, LuxR family	Cytoplasmic	9.26		
1_2247_gene	FW510-R12_contig_1_2247	Two-component transcriptional response regulator, LuxR family	Cytoplasmic	9.97		
1_2328_gene	FW510-R12_contig_1_2328	Thiamine pyrophosphate-requiring enzymes	Cytoplasmic	9.97		
1_3544_gene	FW510-R12_contig_1_3544	Cyclic beta-1,2-glucan synthase (EC 2.4.1.-)	CytoplasmicMembrane	10.00		
1_117_gene	FW510-R12_contig_1_117	Cyclic beta-1,2-glucan synthase (EC 2.4.1.-)	CytoplasmicMembrane	9.99		
1_374_gene	FW510-R12_contig_1_374	FIG007785: exported protein	Unknown	2.00		
1_2159_gene	FW510-R12_contig_1_2159	Enolase (EC 4.2.1.11)	Cytoplasmic	9.97		
1_2410_gene	FW510-R12_contig_1_2410	Enolase (EC 4.2.1.11)	Cytoplasmic	9.97		
1_1151_gene	FW510-R12_contig_1_1151	16S rRNA (uracil(1498)-N(3))-methyltransferase (EC 2.1.1.193)	Cytoplasmic	8.96		
1_1856_gene	FW510-R12_contig_1_1856	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	Cytoplasmic	9.26		
1_2181_gene	FW510-R12_contig_1_2181	Thymidine phosphorylase (EC 2.4.2.4)	Cytoplasmic	8.96		
1_2884_gene	FW510-R12_contig_1_2884	Thymidine phosphorylase (EC 2.4.2.4)	Cytoplasmic	8.96		
1_2907_gene	FW510-R12_contig_1_2907	Thymidine phosphorylase (EC 2.4.2.4)	Cytoplasmic	9.97		
1_3242_gene	FW510-R12_contig_1_3242	Glutathione S-transferase (EC 2.5.1.18)	Cytoplasmic	9.26		
1_1516_gene	FW510-R12_contig_1_1516	Glutathione S-transferase (EC 2.5.1.18)	Cytoplasmic	9.26		
