Query	Seed ortholog	e-value	score	best tax lvl	Preferred_name	GO terms	EC number	KEGG KO	KEGG pathway	KEGG module	KEGG reaction	KEGG rclass	BRITE	KEGG TC	CAZy	BiGG reaction	annot lvl	matching OGs	Best OG	COG cat	description
FW510-R12_contig_1_761	1500893.JQNB01000001_gene2873	1.8e-296	1024.6	Xanthomonadales	thiC	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006725,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009228,GO:0009987,GO:0016020,GO:0017144,GO:0018130,GO:0019438,GO:0034641,GO:0040007,GO:0042364,GO:0042723,GO:0042724,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0072527,GO:0072528,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	4.1.99.17	ko:K03147	ko00730,ko01100,map00730,map01100	M00127	R03472	RC03251,RC03252	ko00000,ko00001,ko00002,ko01000			iECABU_c1320.ECABU_c45100,iYO844.BSU08790	Bacteria	1MUVV@1224,1RP1F@1236,1X4N0@135614,COG0422@1,COG0422@2	NA|NA|NA	H	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction
FW510-R12_contig_1_762	1500893.JQNB01000001_gene2872	1e-110	406.8	Xanthomonadales	thiO		1.4.3.19	ko:K03153	ko00730,ko01100,map00730,map01100		R07463	RC01788	ko00000,ko00001,ko01000				Bacteria	1N1TN@1224,1RPIZ@1236,1X454@135614,COG0665@1,COG0665@2	NA|NA|NA	E	Glycine D-amino acid
FW510-R12_contig_1_763	1500893.JQNB01000001_gene2871	4.1e-13	80.1	Xanthomonadales	thiS			ko:K03154	ko04122,map04122				ko00000,ko00001				Bacteria	1NG8E@1224,1SGCU@1236,1X911@135614,COG2104@1,COG2104@2	NA|NA|NA	H	ThiS family
FW510-R12_contig_1_764	1500893.JQNB01000001_gene2870	5.4e-112	410.6	Xanthomonadales	thiG	GO:0003674,GO:0003824,GO:0006725,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009228,GO:0009987,GO:0017144,GO:0018130,GO:0019438,GO:0034641,GO:0040007,GO:0042364,GO:0042723,GO:0042724,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0046483,GO:0071704,GO:0072527,GO:0072528,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.8.1.10	ko:K03149	ko00730,ko01100,map00730,map01100		R10247	RC03096,RC03097,RC03461	ko00000,ko00001,ko01000				Bacteria	1N0N5@1224,1RMPD@1236,1X4FP@135614,COG2022@1,COG2022@2	NA|NA|NA	H	Catalyzes the rearrangement of 1-deoxy-D-xylulose 5- phosphate (DXP) to produce the thiazole phosphate moiety of thiamine. Sulfur is provided by the thiocarboxylate moiety of the carrier protein ThiS. In vitro, sulfur can be provided by H(2)S
FW510-R12_contig_1_765	1123377.AUIV01000030_gene103	1.3e-73	282.7	Xanthomonadales	thiE	GO:0000287,GO:0003674,GO:0003824,GO:0004789,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009228,GO:0009987,GO:0016740,GO:0016765,GO:0017144,GO:0018130,GO:0019438,GO:0034641,GO:0042364,GO:0042723,GO:0042724,GO:0043167,GO:0043169,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046483,GO:0046872,GO:0071704,GO:0072527,GO:0072528,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.5.1.3,2.7.1.49,2.7.4.7	ko:K00788,ko:K14153	ko00730,ko01100,map00730,map01100	M00127	R03223,R03471,R04509,R10712	RC00002,RC00017,RC00224,RC03255,RC03397	ko00000,ko00001,ko00002,ko01000			iE2348C_1286.E2348C_4300,iSSON_1240.SSON_4166	Bacteria	1RDSU@1224,1S6QS@1236,1X6BT@135614,COG0352@1,COG0352@2	NA|NA|NA	H	Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP)
FW510-R12_contig_1_766	1163407.UU7_10625	5.8e-79	301.2	Xanthomonadales	thiF		2.7.7.80,2.8.1.11	ko:K21029,ko:K21147	ko04122,map04122		R07459,R07461	RC00043	ko00000,ko00001,ko01000				Bacteria	1MW7H@1224,1RPJ3@1236,1X3YQ@135614,COG0476@1,COG0476@2	NA|NA|NA	H	ATP-dependent adenylate transferase, transfers adenyl moiety to the MoeD subunit of molybdopterin synthase
FW510-R12_contig_1_767	1000565.METUNv1_03309	1.9e-56	226.1	Rhodocyclales	thiD		2.7.1.49,2.7.4.7	ko:K00941	ko00730,ko01100,map00730,map01100	M00127	R03471,R04509	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000				Bacteria	1MU9J@1224,2KVJ9@206389,2VHWQ@28216,COG0351@1,COG0351@2	NA|NA|NA	H	Phosphomethylpyrimidine kinase
FW510-R12_contig_1_768	232721.Ajs_2731	8.1e-51	206.5	Comamonadaceae				ko:K07494					ko00000				Bacteria	1RB1C@1224,2VYPD@28216,4AIE8@80864,COG3335@1,COG3335@2	NA|NA|NA	L	DDE superfamily endonuclease
FW510-R12_contig_1_769	232721.Ajs_2731	3.9e-74	284.3	Comamonadaceae				ko:K07494					ko00000				Bacteria	1RB1C@1224,2VYPD@28216,4AIE8@80864,COG3335@1,COG3335@2	NA|NA|NA	L	DDE superfamily endonuclease
FW510-R12_contig_1_770	232721.Ajs_2730	5.8999999999999995e-62	243.8	Comamonadaceae													Bacteria	1NJZ0@1224,2VYH8@28216,4AIM7@80864,COG3415@1,COG3415@2	NA|NA|NA	L	Winged helix-turn helix
FW510-R12_contig_1_771	232721.Ajs_2730	5.8999999999999995e-62	243.8	Comamonadaceae													Bacteria	1NJZ0@1224,2VYH8@28216,4AIM7@80864,COG3415@1,COG3415@2	NA|NA|NA	L	Winged helix-turn helix
FW510-R12_contig_1_772	1163409.UUA_01494	8.5e-67	260.0	Xanthomonadales				ko:K09975					ko00000				Bacteria	1RH9G@1224,1T0AU@1236,1XCZU@135614,COG3758@1,COG3758@2	NA|NA|NA	S	HutD
FW510-R12_contig_1_773	1163409.UUA_01499	0.0	1372.1	Xanthomonadales	dinG		3.6.4.12	ko:K03722					ko00000,ko01000,ko03400				Bacteria	1MVCU@1224,1RMNX@1236,1X5GN@135614,COG1199@1,COG1199@2	NA|NA|NA	KL	DNA helicase
FW510-R12_contig_1_774	1163409.UUA_01504	0.0	1874.4	Xanthomonadales													Bacteria	1MU2C@1224,1RM8A@1236,1X3JW@135614,COG2203@1,COG2203@2,COG5001@1,COG5001@2	NA|NA|NA	T	COG2199 FOG GGDEF domain
FW510-R12_contig_1_775	1163409.UUA_01509	2e-115	421.8	Xanthomonadales													Bacteria	1NXUB@1224,1S2Z2@1236,1X56C@135614,COG2761@1,COG2761@2	NA|NA|NA	Q	DSBA oxidoreductase
FW510-R12_contig_1_776	1163409.UUA_01514	4.1e-262	910.2	Xanthomonadales				ko:K19304					ko00000,ko01000,ko01002,ko01011				Bacteria	1MXRZ@1224,1RR9E@1236,1X3HU@135614,COG4942@1,COG4942@2	NA|NA|NA	D	Protein of unknown function (DUF3375)
FW510-R12_contig_1_777	1163409.UUA_01519	5.1e-122	443.7	Xanthomonadales													Bacteria	1R3MV@1224,1S1QY@1236,1X65M@135614,2BW5S@1,2Z8JM@2	NA|NA|NA	S	Domain of unknown function (DUF4194)
FW510-R12_contig_1_778	1163409.UUA_01524	0.0	2128.6	Xanthomonadales													Bacteria	1N16Z@1224,1RPTX@1236,1X354@135614,COG4913@1,COG4913@2	NA|NA|NA	S	protein conserved in bacteria
FW510-R12_contig_1_779	1163409.UUA_01529	3e-223	780.8	Xanthomonadales													Bacteria	1P11B@1224,1RYWN@1236,1X45C@135614,COG4924@1,COG4924@2	NA|NA|NA	S	protein conserved in bacteria
FW510-R12_contig_1_780	1163409.UUA_01534	1.1999999999999999e-244	852.0	Xanthomonadales			2.7.11.1	ko:K07154					ko00000,ko01000,ko01001,ko02048				Bacteria	1MVAB@1224,1RPQR@1236,1XC6J@135614,COG3550@1,COG3550@2	NA|NA|NA	S	Pfam:HipA_N
FW510-R12_contig_1_781	1163409.UUA_01539	1.3999999999999998e-41	175.3	Xanthomonadales				ko:K07075,ko:K15773					ko00000,ko02048,ko03000				Bacteria	1N4N3@1224,1T17U@1236,1XBHG@135614,COG1476@1,COG1476@2	NA|NA|NA	K	Helix-turn-helix XRE-family like proteins
FW510-R12_contig_1_782	1163409.UUA_01544	5.2e-298	1029.6	Xanthomonadales	IV02_08645			ko:K07137					ko00000				Bacteria	1MV6P@1224,1RPTW@1236,1X3RP@135614,COG2509@1,COG2509@2	NA|NA|NA	S	FAD-dependent dehydrogenases
FW510-R12_contig_1_783	1163409.UUA_01549	2.7e-37	160.6	Xanthomonadales													Bacteria	1QD17@1224,1T8VU@1236,1XBAX@135614,2AQAS@1,31FGS@2	NA|NA|NA		
FW510-R12_contig_1_784	1163409.UUA_01554	3.8e-82	310.8	Xanthomonadales				ko:K09983					ko00000				Bacteria	1RGUV@1224,1S24N@1236,1X6RD@135614,COG3812@1,COG3812@2	NA|NA|NA	S	Domain of unknown function (DUF1993)
FW510-R12_contig_1_785	1163409.UUA_01559	1.2e-231	808.9	Xanthomonadales	tetA			ko:K08151,ko:K08153		M00668,M00717			ko00000,ko00002,ko01504,ko02000	2.A.1.2.38,2.A.1.2.39,2.A.1.2.4,2.A.1.2.41,2.A.1.2.68,2.A.1.2.75,2.A.1.2.8			Bacteria	1MVSH@1224,1RYB9@1236,1X37U@135614,COG0477@1,COG2814@2	NA|NA|NA	EGP	Major facilitator Superfamily
FW510-R12_contig_1_786	1163409.UUA_01564	1.1e-306	1058.5	Xanthomonadales													Bacteria	1Q3YA@1224,1RN2D@1236,1X4T5@135614,COG0457@1,COG0457@2	NA|NA|NA	S	Peptidase family M49
FW510-R12_contig_1_787	666685.R2APBS1_3509	5.2e-132	477.2	Xanthomonadales	lipV	GO:0003674,GO:0003824,GO:0005488,GO:0005504,GO:0006082,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0008289,GO:0009056,GO:0009062,GO:0009268,GO:0009628,GO:0009987,GO:0010447,GO:0016042,GO:0016054,GO:0016298,GO:0016787,GO:0016788,GO:0019752,GO:0031406,GO:0032787,GO:0033293,GO:0036094,GO:0043167,GO:0043168,GO:0043177,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0046395,GO:0050896,GO:0051716,GO:0071214,GO:0071467,GO:0071468,GO:0071704,GO:0072329,GO:0104004,GO:1901575		ko:K19311					ko00000,ko01000				Bacteria	1QTWQ@1224,1T1JQ@1236,1XDB2@135614,COG0596@1,COG0596@2	NA|NA|NA	S	hydrolases or acyltransferases (alpha beta hydrolase superfamily)
FW510-R12_contig_1_788	666685.R2APBS1_3508	7.6e-172	609.8	Xanthomonadales	hemH	GO:0003674,GO:0003824,GO:0004325,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016829,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0046148,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	4.99.1.1,4.99.1.9	ko:K01772	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R00310,R11329	RC01012	ko00000,ko00001,ko00002,ko01000				Bacteria	1MVR1@1224,1RMMS@1236,1X47U@135614,COG0276@1,COG0276@2	NA|NA|NA	H	Catalyzes the ferrous insertion into protoporphyrin IX
FW510-R12_contig_1_789	666685.R2APBS1_3507	6e-115	420.2	Xanthomonadales													Bacteria	1RHV6@1224,1SDNN@1236,1X44C@135614,COG2930@1,COG2930@2	NA|NA|NA	S	Las17-binding protein actin regulator
FW510-R12_contig_1_790	1163407.UU7_15665	1.8e-26	124.8	Xanthomonadales	tatA	GO:0003674,GO:0005215		ko:K03116,ko:K03425	ko03060,ko03070,map03060,map03070	M00336			ko00000,ko00001,ko00002,ko02044	2.A.64			Bacteria	1N6S4@1224,1SCC7@1236,1X840@135614,COG1826@1,COG1826@2	NA|NA|NA	U	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system
FW510-R12_contig_1_791	666685.R2APBS1_3505	8.199999999999998e-41	173.3	Xanthomonadales	tatB	GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0008320,GO:0008565,GO:0009977,GO:0015031,GO:0015291,GO:0015399,GO:0015405,GO:0015450,GO:0015833,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022884,GO:0031224,GO:0031226,GO:0032991,GO:0033036,GO:0033281,GO:0034613,GO:0042802,GO:0042886,GO:0042887,GO:0043953,GO:0044425,GO:0044459,GO:0044464,GO:0045184,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0065002,GO:0070727,GO:0071702,GO:0071705,GO:0071806,GO:0071944,GO:0098796,GO:0098797,GO:1904680		ko:K03116,ko:K03117	ko03060,ko03070,map03060,map03070	M00336			ko00000,ko00001,ko00002,ko02044	2.A.64			Bacteria	1N73F@1224,1SD9K@1236,1X84C@135614,COG1826@1,COG1826@2	NA|NA|NA	U	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatC, TatB is part of a receptor directly interacting with Tat signal peptides. TatB may form an oligomeric binding site that transiently accommodates folded Tat precursor proteins before their translocation
FW510-R12_contig_1_792	1163409.UUA_14419	5.7999999999999984e-127	460.3	Xanthomonadales	tatC	GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0008320,GO:0008565,GO:0009314,GO:0009628,GO:0009977,GO:0015031,GO:0015291,GO:0015399,GO:0015405,GO:0015450,GO:0015833,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022884,GO:0031224,GO:0031226,GO:0032991,GO:0033036,GO:0033281,GO:0034613,GO:0042802,GO:0042886,GO:0042887,GO:0043953,GO:0044425,GO:0044459,GO:0044464,GO:0045184,GO:0046907,GO:0050896,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0065002,GO:0070727,GO:0071702,GO:0071705,GO:0071806,GO:0071944,GO:0098796,GO:0098797,GO:1904680		ko:K03118	ko03060,ko03070,map03060,map03070	M00336			ko00000,ko00001,ko00002,ko02044	2.A.64			Bacteria	1MVAY@1224,1RPRN@1236,1X5D1@135614,COG0805@1,COG0805@2	NA|NA|NA	U	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatB, TatC is part of a receptor directly interacting with Tat signal peptides
FW510-R12_contig_1_793	1163409.UUA_14414	0.0	1362.8	Xanthomonadales	priA	GO:0003674,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006268,GO:0006270,GO:0006276,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009628,GO:0009987,GO:0010212,GO:0010332,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0032392,GO:0032508,GO:0033554,GO:0034641,GO:0034645,GO:0042221,GO:0042623,GO:0043138,GO:0043140,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0046483,GO:0046677,GO:0050896,GO:0051276,GO:0051716,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360,GO:1901576		ko:K04066	ko03440,map03440				ko00000,ko00001,ko01000,ko03400				Bacteria	1MUUZ@1224,1RPZ7@1236,1X381@135614,COG1198@1,COG1198@2	NA|NA|NA	L	Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA
FW510-R12_contig_1_794	1163409.UUA_14409	2.6e-10	71.2	Xanthomonadales													Bacteria	1R50C@1224,1S9AT@1236,1XCII@135614,COG1566@1,COG1566@2	NA|NA|NA	V	Protein of unknown function (DUF3667)
FW510-R12_contig_1_795	666685.R2APBS1_3502	1.2e-25	122.5	Xanthomonadales													Bacteria	1RJ3I@1224,1S7BS@1236,1X4Y6@135614,COG1566@1,COG1566@2	NA|NA|NA	V	Protein of unknown function (DUF3667)
FW510-R12_contig_1_796	666685.R2APBS1_3502	4.4e-35	153.7	Xanthomonadales													Bacteria	1RJ3I@1224,1S7BS@1236,1X4Y6@135614,COG1566@1,COG1566@2	NA|NA|NA	V	Protein of unknown function (DUF3667)
FW510-R12_contig_1_797	1163409.UUA_14404	1.4e-235	822.0	Xanthomonadales	norM	GO:0003674,GO:0005215,GO:0006810,GO:0006855,GO:0008150,GO:0015238,GO:0015893,GO:0022857,GO:0042221,GO:0042493,GO:0042891,GO:0042895,GO:0046677,GO:0050896,GO:0051179,GO:0051234,GO:0055085		ko:K03327					ko00000,ko02000	2.A.66.1			Bacteria	1MUAM@1224,1RP5M@1236,1X57H@135614,COG0534@1,COG0534@2	NA|NA|NA	V	Multidrug efflux pump
FW510-R12_contig_1_798	1163409.UUA_14399	0.0	1161.4	Xanthomonadales	sppA	GO:0003674,GO:0003824,GO:0004175,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006465,GO:0006508,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009987,GO:0010467,GO:0016020,GO:0016021,GO:0016485,GO:0016787,GO:0019538,GO:0031224,GO:0031226,GO:0034641,GO:0043170,GO:0043603,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044425,GO:0044459,GO:0044464,GO:0051604,GO:0070011,GO:0071704,GO:0071944,GO:0140096,GO:1901564		ko:K04773					ko00000,ko01000,ko01002				Bacteria	1MUXE@1224,1RNYW@1236,1X31T@135614,COG0616@1,COG0616@2	NA|NA|NA	OU	signal peptide peptidase
FW510-R12_contig_1_799	1163409.UUA_14394	2.2e-20	104.4	Xanthomonadales													Bacteria	1QD5W@1224,1T926@1236,1XBJV@135614,2AE1E@1,313U4@2	NA|NA|NA		
FW510-R12_contig_1_800	1163409.UUA_14389	7.8e-143	513.1	Xanthomonadales													Bacteria	1R71K@1224,1SYFC@1236,1X2Z6@135614,COG1028@1,COG1028@2	NA|NA|NA	IQ	Tropinone reductase
FW510-R12_contig_1_801	859657.RPSI07_mp0668	1.7e-114	419.5	Burkholderiaceae				ko:K07492					ko00000				Bacteria	1K8YF@119060,1R9R1@1224,2W07I@28216,COG3293@1,COG3293@2,COG3415@1,COG3415@2	NA|NA|NA	L	Putative transposase of IS4/5 family (DUF4096)
FW510-R12_contig_1_802	1163409.UUA_14384	7.6e-169	599.7	Xanthomonadales				ko:K07030					ko00000				Bacteria	1R5M9@1224,1S6F7@1236,1X49M@135614,COG1307@1,COG1307@2	NA|NA|NA	S	lipid binding
FW510-R12_contig_1_803	1163409.UUA_14379	5.1e-150	537.0	Xanthomonadales	amn		2.4.2.3,3.2.2.4	ko:K00757,ko:K01241	ko00230,ko00240,ko00983,ko01100,map00230,map00240,map00983,map01100		R00182,R01876,R02484,R08229	RC00063,RC00318	ko00000,ko00001,ko01000				Bacteria	1QVR4@1224,1T2HJ@1236,1X3C6@135614,COG2820@1,COG2820@2	NA|NA|NA	F	Catalyzes the hydrolysis of AMP to form adenine and ribose 5-phosphate using water as the nucleophile
FW510-R12_contig_1_804	1163409.UUA_14374	0.0	1863.2	Xanthomonadales													Bacteria	1MU9K@1224,1RMTG@1236,1X3YY@135614,COG1629@1,COG1629@2,COG4771@2	NA|NA|NA	P	receptor
FW510-R12_contig_1_805	1163409.UUA_14369	4.4000000000000004e-282	976.9	Xanthomonadales													Bacteria	1MVMG@1224,1RU5N@1236,1X4BW@135614,COG0457@1,COG0457@2	NA|NA|NA	S	Sulfotransferase
FW510-R12_contig_1_806	1163409.UUA_14364	8e-208	729.9	Xanthomonadales													Bacteria	1MVMG@1224,1RU5N@1236,1X6C1@135614,COG0457@1,COG0457@2	NA|NA|NA	S	Sulfotransferase domain
FW510-R12_contig_1_807	1163409.UUA_14359	1.1e-215	756.1	Xanthomonadales													Bacteria	1MVMG@1224,1RU5N@1236,1X51E@135614,COG0457@1,COG0457@2	NA|NA|NA	S	Sulfotransferase domain
FW510-R12_contig_1_808	666685.R2APBS1_3491	2.3e-235	821.2	Xanthomonadales				ko:K12979					ko00000,ko01000,ko01005				Bacteria	1MXZE@1224,1S1N0@1236,1X5WC@135614,COG0457@1,COG0457@2,COG3555@1,COG3555@2	NA|NA|NA	O	beta-hydroxylase
FW510-R12_contig_1_809	1163409.UUA_14349	8.2000000000000015e-168	596.3	Xanthomonadales	hesB			ko:K07390,ko:K13628					ko00000,ko03016,ko03029,ko03110				Bacteria	1MZ4V@1224,1SKDF@1236,1XCMH@135614,COG0278@1,COG0278@2,COG0316@1,COG0316@2,COG0607@1,COG0607@2	NA|NA|NA	OP	Rhodanese Homology Domain
FW510-R12_contig_1_810	1163409.UUA_14344	1.3e-159	568.9	Xanthomonadales	lpxH		3.6.1.54	ko:K03269	ko00540,ko01100,map00540,map01100	M00060	R04549	RC00002	ko00000,ko00001,ko00002,ko01000,ko01005				Bacteria	1MVKD@1224,1RQIA@1236,1X305@135614,COG2908@1,COG2908@2	NA|NA|NA	S	Calcineurin-like phosphoesterase superfamily domain
FW510-R12_contig_1_811	1163409.UUA_14339	2e-106	391.7	Xanthomonadales													Bacteria	1RE1B@1224,1S3DM@1236,1X613@135614,COG2755@1,COG2755@2	NA|NA|NA	E	Lysophospholipase L1 and related esterases
FW510-R12_contig_1_812	1163409.UUA_14334	1.7e-232	811.6	Xanthomonadales	alaA	GO:0003674,GO:0003824,GO:0004021,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006082,GO:0006090,GO:0006520,GO:0006522,GO:0006523,GO:0006807,GO:0006950,GO:0006974,GO:0008144,GO:0008150,GO:0008152,GO:0008483,GO:0008652,GO:0009058,GO:0009078,GO:0009079,GO:0009987,GO:0016020,GO:0016053,GO:0016740,GO:0016769,GO:0019272,GO:0019752,GO:0019842,GO:0030170,GO:0030632,GO:0032787,GO:0033554,GO:0036094,GO:0040007,GO:0042221,GO:0042851,GO:0042852,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044464,GO:0046144,GO:0046145,GO:0046394,GO:0046416,GO:0046436,GO:0046437,GO:0046677,GO:0047635,GO:0048037,GO:0050662,GO:0050896,GO:0051716,GO:0070279,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.6.1.2,2.6.1.66	ko:K00814,ko:K14260	ko00220,ko00250,ko00290,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00220,map00250,map00290,map00710,map01100,map01110,map01120,map01130,map01200,map01210,map01230	M00171	R00258,R01215	RC00006,RC00008,RC00036	ko00000,ko00001,ko00002,ko01000,ko01007			iNJ661.Rv0337c	Bacteria	1MW0Z@1224,1RN5B@1236,1X32P@135614,COG0436@1,COG0436@2	NA|NA|NA	E	aminotransferase
FW510-R12_contig_1_813	1163409.UUA_14329	3.2e-192	677.6	Xanthomonadales	rsgA		3.1.3.100	ko:K06949	ko00730,ko01100,map00730,map01100		R00615,R02135	RC00002,RC00017	ko00000,ko00001,ko01000,ko03009				Bacteria	1MUEF@1224,1RMMB@1236,1X2Y7@135614,COG1162@1,COG1162@2	NA|NA|NA	S	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit
FW510-R12_contig_1_814	1163409.UUA_14324	5.399999999999999e-226	790.0	Xanthomonadales													Bacteria	1PYFH@1224,1RP1J@1236,1X34Y@135614,COG3930@1,COG3930@2	NA|NA|NA	S	protein conserved in bacteria
FW510-R12_contig_1_815	1163409.UUA_14319	0.0	1456.4	Xanthomonadales	maeB	GO:0003674,GO:0003824,GO:0004470,GO:0004473,GO:0005488,GO:0008150,GO:0008152,GO:0016491,GO:0016614,GO:0016615,GO:0016616,GO:0030145,GO:0043167,GO:0043169,GO:0046872,GO:0046914,GO:0055114	1.1.1.38,1.1.1.40,2.3.1.8	ko:K00027,ko:K00029,ko:K00625,ko:K13788	ko00430,ko00620,ko00640,ko00680,ko00710,ko00720,ko01100,ko01120,ko01200,ko02020,map00430,map00620,map00640,map00680,map00710,map00720,map01100,map01120,map01200,map02020	M00169,M00172,M00357,M00579	R00214,R00216,R00230,R00921	RC00004,RC00105,RC02746,RC02816	ko00000,ko00001,ko00002,ko01000			iAF987.Gmet_1637	Bacteria	1MU0A@1224,1RN5F@1236,1X2XY@135614,COG0280@1,COG0280@2,COG0281@1,COG0281@2	NA|NA|NA	C	Malic enzyme
